54.000,13.9407
55.000,14.0515
56.000,14.1603
57.000,14.3097
58.000,14.4053
59.000,14.5099
60.000,14.6164
61.000,14.7281
62.000,14.8563
63.000,14.9507
64.000,15.0501
65.000,15.1551
66.000,15.2749
67.000,15.391
68.000,15.4812
69.000,15.5788
70.000,15.6885
71.000,15.7974
72.000,15.9042
73.000,15.9976
74.000,16.0897
75.000,16.2039
76.000,16.3029
77.000,16.422
78.000,16.5055
79.000,16.597
80.000,16.6904
81.000,16.8072
82.000,16.9177
83.000,17.0016
84.000,17.0859
85.000,17.1755
86.000,17.2652
87.000,17.3751
88.000,17.4676
89.000,17.5513
90.000,17.6335
91.000,17.7397
92.000,17.8287
93.000,17.9462
94.000,18.0227
95.000,18.0993
96.000,18.1818
97.000,18.2723
98.000,18.3609
99.000,18.4712
100.000,18.5475
101.000,18.62
102.000,18.702
103.000,18.778
104.000,18.864
105.000,18.985
106.000,19.055
107.000,19.132
108.000,19.204
109.000,19.289
110.000,19.371
111.000,19.485
112.000,19.556
113.000,19.628
114.000,19.703
115.000,19.776
116.000,19.858
117.000,19.959
118.000,20.043
119.000,20.114
120.000,20.183
121.000,20.261
122.000,20.331
123.000,20.421
124.000,20.53
125.000,20.597
126.000,20.665
127.000,20.732
128.000,20.804
129.000,20.877
130.000,20.953
131.000,21.059
132.000,21.123
133.000,21.191
134.000,21.259
135.000,21.323
136.000,21.396
137.000,21.476
138.000,21.58
139.000,21.644
140.000,21.705
141.000,21.775
142.000,21.84
143.000,21.912
144.000,21.984
145.000,22.088
146.000,22.149
147.000,22.212
148.000,22.272
149.000,22.338
150.000,22.407
151.000,22.478
152.000,22.567
153.000,22.644
154.000,22.701
155.000,22.768
156.000,22.829
157.000,22.895
158.000,22.96
159.000,23.048
160.000,23.139
161.000,23.197
162.000,23.252
163.000,23.31
164.000,23.378
165.000,23.444
166.000,23.51
167.000,23.593
168.000,23.67
169.000,23.728
170.000,23.788
171.000,23.845
172.000,23.907
173.000,23.973
174.000,24.036
175.000,24.12
176.000,24.2
177.000,24.254
178.000,24.316
179.000,24.373
180.000,24.433
181.000,24.491
182.000,24.569
183.000,24.64
184.000,24.721
185.000,24.775
186.000,24.828
187.000,24.886
188.000,24.943
189.000,25.007
190.000,25.07
191.000,25.146
192.000,25.228
193.000,25.28
194.000,25.339
195.000,25.39
196.000,25.447
197.000,25.506
198.000,25.566
199.000,25.633
200.000,25.729
201.000,25.786
202.000,25.833
203.000,25.89
204.000,25.943
205.000,26.001
206.000,26.055
207.000,26.127
208.000,26.187
209.000,26.277
210.000,26.329
211.000,26.377
212.000,26.43
213.000,26.485
214.000,26.543
215.000,26.598
216.000,26.657
217.000,26.735
218.000,26.804
219.000,26.851
220.000,26.906
221.000,26.955
222.000,27.012
223.000,27.062
224.000,27.12
225.000,27.179
226.000,27.251
227.000,27.329
228.000,27.374
229.000,27.424
230.000,27.475
231.000,27.529
232.000,27.581
233.000,27.637
234.000,27.696
235.000,27.761
236.000,27.834
237.000,27.883
238.000,27.927
239.000,27.977
240.000,28.023
241.000,28.089
242.000,28.138
243.000,28.198
244.000,28.256
245.000,28.343
246.000,28.386
247.000,28.439
248.000,28.484
249.000,28.537
250.000,28.584
251.000,28.64
252.000,28.688
253.000,28.75
254.000,28.824
255.000,28.892
256.000,28.937
257.000,28.984
258.000,29.03
259.000,29.08
260.000,29.126
